year,gender,headcount
1984-85,Decline to State,0.031545741324921134
1984-85,Female,0.25236593059936907
1984-85,Male,0.7160883280757098
1985-86,Decline to State,0.011363636363636364
1985-86,Female,0.20170454545454544
1985-86,Male,0.7869318181818182
1986-87,Decline to State,0.008450704225352112
1986-87,Female,0.22535211267605634
1986-87,Male,0.7661971830985915
1987-88,Female,0.2484472049689441
1987-88,Male,0.7515527950310559
1988-89,Female,0.18867924528301888
1988-89,Male,0.8113207547169812
1989-90,Female,0.18691588785046728
1989-90,Male,0.8130841121495327
1990-91,Decline to State,0.0071174377224199285
1990-91,Female,0.17437722419928825
1990-91,Male,0.8185053380782918
1991-92,Decline to State,0.006289308176100629
1991-92,Female,0.16981132075471697
1991-92,Male,0.8238993710691824
1992-93,Female,0.18487394957983194
1992-93,Male,0.8151260504201681
1993-94,Female,0.17117117117117117
1993-94,Male,0.8288288288288288
1994-95,Decline to State,0.0030211480362537764
1994-95,Female,0.1903323262839879
1994-95,Male,0.8066465256797583
1995-96,Female,0.18457300275482094
1995-96,Male,0.8154269972451791
1996-97,Decline to State,0.002631578947368421
1996-97,Female,0.16052631578947368
1996-97,Male,0.8368421052631579
1997-98,Decline to State,0.0028328611898017
1997-98,Female,0.18696883852691218
1997-98,Male,0.8101983002832861
1998-99,Female,0.1778975741239892
1998-99,Male,0.8221024258760108
1999-00,Female,0.18202247191011237
1999-00,Male,0.8179775280898877
2000-01,Female,0.20495495495495494
2000-01,Male,0.795045045045045
2001-02,Female,0.19782608695652174
2001-02,Male,0.8021739130434783
2002-03,Female,0.18468468468468469
2002-03,Male,0.8153153153153153
2003-04,Female,0.19148936170212766
2003-04,Male,0.8085106382978723
2004-05,Female,0.17222222222222222
2004-05,Male,0.8277777777777777
2005-06,Female,0.16129032258064516
2005-06,Male,0.8387096774193549
2006-07,Female,0.1391304347826087
2006-07,Male,0.8608695652173913
2007-08,Female,0.10576923076923077
2007-08,Male,0.8942307692307693
2008-09,Female,0.10115606936416185
2008-09,Male,0.8988439306358381
2009-10,Female,0.10227272727272728
2009-10,Male,0.8977272727272727
2010-11,Female,0.10079575596816977
2010-11,Male,0.8992042440318302
2011-12,Female,0.13849765258215962
2011-12,Male,0.8615023474178404
2012-13,Female,0.1595959595959596
2012-13,Male,0.8404040404040404
2013-14,Female,0.136
2013-14,Male,0.864
2014-15,Female,0.18220946915351507
2014-15,Male,0.8177905308464849
2015-16,Female,0.204574332909784
2015-16,Male,0.795425667090216
